id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
5178,Large Furnished Room Near B'way ,2019-11-21,Manhattan,Hell's Kitchen,84.0,10.0,8.0,40.76489,-73.98493,Apartment,Private room,2,1,1,0,79.0,0.0,15.0,1,2,47,2019-11-21,3.52,454,242,0
7322,"Chelsea Perfect  by Doti, an AIRBNB  Super Host!",2019-11-16,Manhattan,Chelsea,96.0,10.0,10.0,40.74192,-73.99501,Apartment,Private room,3,1,1,0,120.0,0.0,0.0,2,1,50,2019-11-16,2.32,296,26,0
9704,Spacious 1 bedroom in luxe building,2019-11-09,Manhattan,Harlem,98.0,10.0,10.0,40.81305,-73.95466,Apartment,Private room,2,1,1,900,52.0,150.0,50.0,1,2,17,2019-11-09,1.45,97,326,0
12192,ENJOY Downtown NYC!,2019-11-13,Manhattan,East Village,88.0,10.0,10.0,40.7229,-73.98199,Apartment,Private room,2,1,1,0,68.0,100.0,30.0,1,2,23,2019-11-13,2.1,258,62,0
15711,2 bedroom - Upper East Side-great for kids,2019-11-24,Manhattan,Upper East Side,93.0,9.0,9.0,40.77065,-73.95269,Apartment,Entire home/apt,6,1,2,0,250.0,500.0,200.0,6,2,11,2019-11-24,0.62,75,232,0
16580,"Sunny, Modern room in East Village!",2019-11-15,Manhattan,East Village,95.0,10.0,10.0,40.726490000000005,-73.97904,Apartment,Private room,1,1,1,0,80.0,100.0,60.0,1,1,90,2019-11-15,4.95,379,136,0
16821,Large Room in Amazing East Village Apt,2019-10-06,Manhattan,East Village,93.0,10.0,9.0,40.72298,-73.98474,Apartment,Private room,1,1,1,0,99.0,0.0,50.0,1,1,20,2019-10-06,1.27,113,356,0
17693,"HARLEM, NEW YORK WELCOMES YOU!!",2019-11-11,Manhattan,Washington Heights,98.0,10.0,10.0,40.83139,-73.94095,Apartment,Private room,2,1,1,0,65.0,150.0,40.0,1,2,22,2019-11-11,1.66,59,358,0
25696,"1,800 sq foot in luxury building",2019-11-24,Manhattan,Harlem,95.0,10.0,9.0,40.8092,-73.94421,Apartment,Private room,2,1,1,0,100.0,100.0,60.0,1,2,25,2019-11-24,1.7,188,343,0
26362,"Times Square, Safe, Clean and Cozy!",2019-11-20,Manhattan,Hell's Kitchen,91.0,10.0,9.0,40.75527,-73.99291,Apartment,Private room,1,0,1,0,59.0,0.0,0.0,1,2,46,2019-11-20,3.07,357,310,0
27385,Great Large 1 BR apt  in East Village!,2019-11-24,Manhattan,East Village,94.0,10.0,9.0,40.72555,-73.97965,Apartment,Entire home/apt,4,1,1,850,225.0,0.0,0.0,2,1,23,2019-11-24,1.07,123,340,0
27644,Sugar Hill Rest Stop ,2019-11-03,Manhattan,Harlem,95.0,10.0,9.0,40.82754,-73.94919,Apartment,Entire home/apt,6,1,1,0,170.0,0.0,0.0,4,2,34,2019-11-03,2.05,207,348,0
39267,CENTRAL PARK LOFT all for YOU,2019-11-15,Manhattan,Upper East Side,84.0,9.0,9.0,40.77456,-73.95323,Apartment,Entire home/apt,4,1,1,0,99.0,100.0,60.0,1,1,35,2019-11-15,2.65,252,158,0
44212,West Inn 2 - East Village,2019-10-25,Manhattan,East Village,95.0,10.0,10.0,40.72518,-73.98034,Apartment,Private room,2,1,1,0,125.0,0.0,0.0,2,1,21,2019-10-25,0.83,94,346,0
54544,City Room - Private Penthouse Apt.,2019-11-11,Manhattan,Harlem,92.0,9.0,9.0,40.81035,-73.94598,Apartment,Entire home/apt,5,1,1,0,121.0,200.0,85.0,2,1,23,2019-11-11,1.1,119,329,0
56467,Cozy East Village Railroad 1 Bed!,2019-11-26,Manhattan,East Village,96.0,10.0,10.0,40.72752,-73.98432,Apartment,Entire home/apt,3,1,1,500,130.0,500.0,120.0,2,1,51,2019-11-26,2.12,223,98,0
56859,City Room - Private & Comfy Bedroom,2019-11-16,Manhattan,Harlem,93.0,9.0,10.0,40.81219,-73.94499,Apartment,Private room,2,1,1,0,64.0,200.0,40.0,2,1,29,2019-11-16,1.86,203,328,0
57754,Stylish Large Gramercy Loft!,2019-11-27,Manhattan,Flatiron District,99.0,10.0,10.0,40.7403,-73.98498000000001,Loft,Entire home/apt,2,1,1,800,305.0,500.0,75.0,2,2,16,2019-11-27,1.1,114,314,0
58059,PRIVATE Room on Historic Sugar Hill,2019-11-29,Manhattan,Harlem,93.0,10.0,10.0,40.8251,-73.94287,Apartment,Private room,3,1,1,0,60.0,100.0,25.0,2,1,74,2019-11-29,4.68,491,286,0
60666,City Room - Private Luxury Suite,2019-11-16,Manhattan,Harlem,94.0,9.0,9.0,40.8118,-73.94434,Apartment,Private room,3,1,1,0,92.0,150.0,40.0,2,1,32,2019-11-16,1.89,205,325,0
64837,ENJOY Downtown NYC!!,2019-10-12,Manhattan,East Village,91.0,10.0,9.0,40.723209999999995,-73.98156999999999,Apartment,Private room,2,1,1,0,68.0,100.0,30.0,1,2,25,2019-10-12,1.94,211,21,0
65019,Charming UWS Treehouse Apt,2019-11-30,Manhattan,Upper West Side,98.0,10.0,10.0,40.77932,-73.98057,Apartment,Entire home/apt,2,1,1,0,115.0,500.0,80.0,1,1,83,2019-11-30,2.33,245,125,0
66275,Magic Room Lower East Side 地处纽约SOHO区购物美食文化艺术的中心地段,2019-11-20,Manhattan,Lower East Side,97.0,10.0,10.0,40.71904,-73.99391999999999,Apartment,Private room,5,1,1,0,95.0,0.0,60.0,1,1,33,2019-11-20,1.26,130,340,0
